titulo,descricao,prazo,data_conclusao,situacao
morbi tristique senectus et,euismod urna. Nullam lobortis quam a felis ullamcorper,"Aug 2, 2024","Apr 21, 2024",cancelada
ante. Vivamus,"in,","Sep 23, 2023","Nov 12, 2023",nova
sagittis placerat. Cras dictum,"cursus luctus, ipsum leo elementum sem,","Jun 14, 2023","Nov 26, 2023",concluida
magna. Lorem ipsum dolor,"dui. Fusce diam nunc, ullamcorper","Feb 26, 2024","Jun 11, 2024",cancelada
"ullamcorper,",quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed,"Feb 24, 2024","May 30, 2024",nova
"auctor non, feugiat",Integer mollis. Integer tincidunt,"Sep 1, 2024","Dec 29, 2023",concluida
"accumsan sed, facilisis vitae, orci.","in aliquet lobortis, nisi nibh lacinia orci, consectetuer","Apr 22, 2025","Nov 5, 2023",em andamento
egestas,arcu et pede. Nunc sed orci lobortis,"Oct 19, 2023","May 25, 2023",nova
dictum. Phasellus,amet ultricies,"Apr 15, 2025","Oct 22, 2024",em andamento
diam,"pharetra, felis eget varius ultrices, mauris ipsum porta elit,","Jul 1, 2023","Jun 20, 2024",nova
In condimentum. Donec at,mus. Proin vel arcu eu odio,"Oct 20, 2024","Aug 12, 2023",nova
et magnis,tortor. Integer aliquam,"May 3, 2024","Aug 20, 2023",cancelada
"dui, nec tempus","erat nonummy ultricies ornare, elit elit","Mar 5, 2024","Feb 3, 2025",concluida
molestie dapibus ligula. Aliquam,ligula eu enim. Etiam imperdiet dictum magna.,"Nov 21, 2024","Sep 14, 2023",nova
"tempus scelerisque, lorem","ut aliquam iaculis, lacus pede sagittis augue, eu tempor","Apr 14, 2024","Jan 29, 2024",em andamento
